0^1
Running^0.803;0.940;0.954;0.954;0.977;0.726;0.974;0.929;0.831;0.949;0.891;0.906;0.894;0.943;0.937;0.891;0.951;0.866;0.709;0.963;0.963;0.949;0.983;0.980;0.986;0.986;0.974;0.963;0.986;0.983;0.980;0.980;0.969;0.986;1.000;0.986;0.977;0.986;0.986;0.969;0.971;0.986;0.971;0.986;0.983;0.963;0.977;0.957;0.986;0.980;0.986;0.977;0.986;0.954
Slagerij^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.900;0.914;0.903;0.951;0.951;0.900;0.960;0.857;0.717;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;1.000;0.974;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Sport^0.791;0.929;0.943;0.943;0.966;0.731;0.963;0.917;0.831;0.943;0.880;0.894;0.883;0.931;0.926;0.891;0.940;0.854;0.714;0.951;0.951;0.943;0.971;0.969;0.974;0.974;0.963;0.951;0.974;0.971;0.969;0.969;0.957;0.980;0.977;0.974;1.000;0.974;0.974;0.957;0.960;0.974;0.960;0.974;0.971;0.957;0.966;0.946;0.974;0.969;0.974;0.966;0.974;0.943
Tuin^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.943;0.829;0.934;0.900;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.717;0.971;0.977;0.957;0.991;0.989;0.994;0.994;0.989;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;1.000;0.994;0.977;0.986;0.994;0.986;0.994;0.991;0.971;0.991;0.966;0.994;0.994;0.994;0.986;0.994;0.969
Zoetwaren^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.900;0.914;0.909;0.951;0.951;0.906;0.960;0.857;0.723;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;1.000;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Boek & Tijdschriften^0.794;0.937;0.980;0.946;0.969;0.706;0.966;0.920;0.811;0.917;0.889;0.897;0.891;0.934;0.929;0.883;0.943;0.840;0.711;0.954;0.954;0.940;0.974;0.971;0.977;0.977;0.966;0.954;0.977;0.974;0.971;0.971;0.960;0.977;0.969;0.977;0.957;0.977;0.977;1.000;0.974;0.977;0.963;0.977;0.974;0.954;0.969;0.949;0.977;0.971;0.977;0.969;0.977;0.951
Cadeau^0.803;0.934;0.954;0.949;0.971;0.709;0.969;0.929;0.814;0.920;0.891;0.900;0.900;0.937;0.937;0.891;0.946;0.843;0.714;0.957;0.969;0.943;0.977;0.974;0.980;0.980;0.974;0.957;0.980;0.983;0.974;0.974;0.963;0.980;0.971;0.980;0.960;0.986;0.980;0.974;1.000;0.980;0.977;0.980;0.977;0.957;0.977;0.951;0.980;0.980;0.980;0.971;0.980;0.966
Dier^0.811;0.949;0.963;0.963;0.986;0.723;0.989;0.937;0.829;0.934;0.900;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.723;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;1.000;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Huishoudelijk^0.803;0.934;0.949;0.954;0.971;0.709;0.969;0.934;0.814;0.920;0.891;0.900;0.894;0.937;0.949;0.897;0.946;0.843;0.709;0.963;0.980;0.949;0.977;0.974;0.980;0.980;0.980;0.957;0.986;0.983;0.974;0.980;0.963;0.980;0.971;0.980;0.960;0.986;0.980;0.963;0.977;0.980;1.000;0.980;0.977;0.963;0.977;0.951;0.980;0.980;0.980;0.971;0.980;0.960
Kaasspecialist^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.900;0.914;0.903;0.951;0.951;0.900;0.960;0.857;0.723;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.980;1.000;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;0.994;0.963
Koffie & Thee^0.809;0.946;0.960;0.960;0.983;0.720;0.980;0.934;0.826;0.931;0.897;0.911;0.906;0.949;0.954;0.897;0.957;0.854;0.720;0.969;0.969;0.954;0.989;0.986;0.991;0.991;0.980;0.969;0.991;0.989;0.986;0.986;0.974;0.991;0.983;0.991;0.971;0.991;0.991;0.974;0.977;0.991;0.977;0.991;1.000;0.969;0.983;0.963;0.991;0.986;0.991;0.983;0.991;0.960
Lingerie & Ondergoed^0.794;0.926;0.940;0.940;0.963;0.746;0.960;0.914;0.817;0.911;0.877;0.891;0.880;0.940;0.929;0.883;0.937;0.840;0.706;0.949;0.954;0.946;0.969;0.966;0.971;0.971;0.960;0.949;0.977;0.969;0.966;0.966;0.954;0.971;0.963;0.971;0.957;0.971;0.971;0.954;0.957;0.971;0.963;0.971;0.969;1.000;0.963;0.943;0.971;0.966;0.971;0.963;0.971;0.940
Muziek, Films & Games^0.803;0.940;0.954;0.966;0.977;0.714;0.974;0.934;0.820;0.937;0.891;0.906;0.911;0.943;0.937;0.891;0.951;0.849;0.709;0.963;0.969;0.949;0.983;0.980;0.986;0.986;0.980;0.963;0.986;0.983;0.980;0.980;0.969;0.986;0.977;0.986;0.966;0.991;0.986;0.969;0.977;0.986;0.977;0.986;0.983;0.963;1.000;0.957;0.986;0.997;0.986;0.977;0.986;0.960
Optiek^0.789;0.920;0.934;0.934;0.957;0.694;0.954;0.909;0.800;0.906;0.877;0.949;0.874;0.923;0.917;0.871;0.931;0.829;0.700;0.943;0.943;0.929;0.963;0.960;0.966;0.966;0.954;0.943;0.966;0.963;0.960;0.960;0.949;0.966;0.957;0.966;0.946;0.966;0.966;0.949;0.951;0.966;0.951;0.966;0.963;0.943;0.957;1.000;0.966;0.960;0.966;0.957;0.966;0.934
Slapen^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.906;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.723;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;1.000;0.989;0.994;0.986;0.994;0.963
Speelgoed^0.806;0.943;0.957;0.963;0.980;0.717;0.977;0.937;0.823;0.940;0.894;0.909;0.909;0.946;0.940;0.894;0.954;0.851;0.711;0.966;0.971;0.951;0.986;0.983;0.989;0.989;0.983;0.966;0.989;0.986;0.983;0.983;0.971;0.989;0.980;0.989;0.969;0.994;0.989;0.971;0.980;0.989;0.980;0.989;0.986;0.966;0.997;0.960;0.989;1.000;0.989;0.980;0.989;0.963
Supermarkt^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.900;0.914;0.903;0.951;0.951;0.900;0.960;0.857;0.717;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;1.000;0.986;0.994;0.963
Tweedehands^0.814;0.940;0.954;0.954;0.977;0.726;0.974;0.934;0.820;0.926;0.897;0.906;0.894;0.943;0.937;0.897;0.951;0.849;0.709;0.963;0.969;0.949;0.983;0.980;0.986;0.986;0.974;0.963;0.986;0.983;0.980;0.980;0.969;0.986;0.977;0.986;0.966;0.986;0.986;0.969;0.971;0.986;0.971;0.986;0.983;0.963;0.977;0.957;0.986;0.980;0.986;1.000;0.986;0.954
Vloer, Wand & Raam^0.811;0.949;0.963;0.963;0.986;0.723;0.983;0.937;0.829;0.934;0.906;0.914;0.903;0.951;0.946;0.900;0.960;0.857;0.717;0.971;0.971;0.957;0.991;0.989;0.994;0.994;0.983;0.971;0.994;0.991;0.989;0.989;0.977;0.994;0.986;0.994;0.974;0.994;0.994;0.977;0.980;0.994;0.980;0.994;0.991;0.971;0.986;0.966;0.994;0.989;0.994;0.986;1.000;0.963
Woondecoratie^0.814;0.917;0.931;0.931;0.954;0.714;0.951;0.911;0.797;0.903;0.897;0.883;0.871;0.920;0.920;0.874;0.929;0.826;0.720;0.940;0.951;0.926;0.960;0.957;0.963;0.963;0.957;0.940;0.963;0.971;0.957;0.957;0.946;0.963;0.954;0.963;0.943;0.969;0.963;0.951;0.966;0.963;0.960;0.963;0.960;0.940;0.960;0.934;0.963;0.963;0.963;0.954;0.963;1.000
